title,company_name,location,formatted_experience_level,normalized_salary,python,sql,excel,tableau,powerbi
Data Analyst,TalentBridge,New York City Metropolitan Area,Mid-Senior level,92560.0,False,True,True,False,False
Data Analyst,Equity Staffing Group,"Eden Prairie, MN",Associate,112320.0,False,True,False,False,False
Junior Data Analyst,UST,"Norfolk, VA",Associate,,False,True,True,True,False
Senior Data Analyst,Akkodis,"New York, NY",Mid-Senior level,130000.0,False,True,False,False,False
Lead Data Analyst,MatchPoint,San Francisco Bay Area,Associate,,True,True,False,False,False
Data Analyst,HCA Healthcare,Nashville Metropolitan Area,Mid-Senior level,,False,True,True,False,False
Data Analyst,InfoVision Inc.,"South Dakota, United States",Entry level,,False,True,True,False,False
Junior Data Analyst (Logistics),WalkWater Technologies,"Austin, TX",Mid-Senior level,,False,False,True,False,False
Systems/Data Analyst - SQL/ETL,Eliassen Group,"Durham, NC",Mid-Senior level,124800.0,False,True,False,False,False
Senior Data Analyst,Parallel,United States,Mid-Senior level,,True,True,True,False,False
Data Analyst,Optomi,United States,Mid-Senior level,124800.0,False,True,True,True,True
"Data Analyst (Go-To-Market Team) - Hybrid / Atlanta, GA",Experity,"Atlanta, GA",Entry level,78950.0,False,True,True,True,True
Data Analyst,Experis,"New Albany, OH",Entry level,87360.0,False,False,True,False,True
Financial Data Analyst,SkyWater Search Partners,"St Cloud, MN",Mid-Senior level,,False,True,False,True,False
Senior Data Analyst - Ecommerce & Marketing,Ocado Group,"Monroe, MI",Mid-Senior level,,True,True,True,True,False
Senior Data Analyst ,Tier4 Group,"Atlanta, GA",Mid-Senior level,,False,True,True,False,False
Transportation Program Specialist/ Transportation Data Analyst,Federal Transit Administration,"Washington, DC",Entry level,,False,False,False,False,False
Onsite job (Only W2 role) :: Data Analyst :: contract ,Visionary Innovative Technology Solutions LLC,"Wichita, Kansas Metropolitan Area",Associate,,False,True,False,False,False
Data Analyst,"Delta System & Software, Inc.","Chesterfield, VA",Mid-Senior level,,True,True,True,False,False
Data Analyst I,Aditi Consulting,"Austin, TX",Mid-Senior level,,False,False,False,False,False
Data Analyst 2,FedEx Logistics,"La Vergne, TN",,,False,True,True,False,False
Senior Data Analyst,Capital One,"McLean, VA",Mid-Senior level,,True,True,False,False,False
Senior Data Analyst,Capital One,"Richmond, VA",Mid-Senior level,,True,True,False,False,False
Data Analyst,Tata Consultancy Services,"Bellevue, WA",Entry level,,True,False,False,False,False
Medical Data Analyst / Programmer,Nippon Life Benefits,"New York, NY",,82500.0,True,True,True,False,False
Data Analyst - Financial,Frost,"San Antonio, TX",Entry level,,False,True,True,False,False
Data Analyst,Complete Staffing Solutions,"Atlanta, GA",Entry level,95000.0,False,False,False,False,False
Senior Data Analyst,Educated Solutions Corp,"Richardson, TX",Associate,,False,False,True,False,False
Senior Financial Data Analyst,"The GEO Group, Inc.","Boulder, CO",Mid-Senior level,85000.0,False,False,True,False,False
Data Analyst,Quantum World Technologies Inc.,United States,Mid-Senior level,,True,True,True,True,False
Senior Data Analyst,bp,"Chicago, IL",Associate,,True,True,True,False,False
